,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-078,2000,26.6,61,35,44,17,0,36,55,65.5,19,353,95,26.9,207,111,35,75,17,0,58,42,103,62,0,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-253,1996,18.3,12,6,3,5,4,2,11,18.2,9,257,67,26.1,30,95,132,19,4,0,15,9,21,13,0,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-290,2001,15.3,58,31,44,10,4,21,37,56.8,16,316,101,32,182,88,46,29,2,0,27,27,85,24,0,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-340,1998,15.6,25,14,18,4,3,14,26,53.8,12,140,49,35,74,51,15,28,10,1,18,36,61,64,1,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-033,1995,7.5,9,4,5,3,1,3,5,60,2,44,12,27.3,20,21,3,10,5,0,5,16,25,23,0,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-125,1989,11.1,32,15,16,9,7,9,38,23.7,29,263,55,20.9,87,130,46,26,5,1,21,22,54,9,0,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-346,1991,11.2,41,28,13,20,8,7,27,25.9,20,205,78,38,54,107,44,16,1,0,15,21,62,10,2,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-167,1998,25.7,34,18,17,13,4,18,46,39.1,28,232,76,32.8,88,81,63,34,4,1,30,64,98,40,1,Matches
9,Alisson,,br BRA,GK,Liverpool,29-172,1992,27,0,0,0,0,0,0,2,0,2,5,2,40,5,0,0,0,0,0,0,0,0,1,1,Matches
10,Allan,,br BRA,MF,Everton,31-074,1991,21.5,69,57,28,36,5,22,77,28.6,55,554,184,33.2,212,288,54,40,8,0,32,35,104,30,0,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-346,1996,1.9,7,4,3,4,0,2,9,22.2,7,77,17,22.1,17,41,19,5,1,0,4,3,10,5,0,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-346,1996,7.3,19,7,11,6,2,5,17,29.4,12,209,55,26.3,81,92,36,25,5,0,20,17,36,12,0,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-041,1994,12.6,42,25,22,13,7,12,38,31.6,26,295,72,24.4,104,113,78,18,1,1,17,16,58,6,0,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-085,1990,16.1,34,21,17,10,7,13,26,50,13,214,58,27.1,96,69,49,30,3,0,27,50,84,42,0,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-196,1998,4.5,9,8,3,5,1,3,5,60,2,79,20,25.3,30,37,12,5,1,0,4,14,23,10,0,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-092,1994,16.7,17,8,9,8,0,11,21,52.4,10,116,38,32.8,65,46,5,37,20,1,17,24,41,83,2,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-296,1996,23.4,25,14,17,8,0,11,22,50,11,107,31,29,68,34,5,30,14,0,16,49,74,120,2,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,31-360,1990,27.6,24,19,5,8,11,6,19,31.6,13,384,113,29.4,25,142,217,22,1,0,21,11,35,15,0,Matches
19,Cameron Archer,,eng ENG,MFFW,Aston Villa,20-245,2001,0.3,0,0,0,0,0,0,0,,0,4,0,0,0,2,2,0,0,0,0,1,1,1,0,Matches
20,Alphonse Areola,,fr FRA,GK,West Ham,29-024,1993,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Adam Armstrong,,eng ENG,FWMF,Southampton,25-041,1997,13.5,9,6,3,3,3,0,5,0,5,201,55,27.4,21,75,105,8,1,0,7,8,17,5,0,Matches
22,Stuart Armstrong,,sct SCO,MF,Southampton,29-358,1992,10.7,14,9,7,3,4,4,14,28.6,10,155,56,36.1,42,72,41,11,0,0,11,11,25,8,0,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-171,1994,4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-129,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,1,1,0,0,Matches
