,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-090,2000,26.6,2.29,1.32,1.65,0.64,0,1.35,2.07,65.5,0.71,13.3,3.61,27.1,7.78,4.21,1.32,2.82,0.64,0,2.18,1.62,3.91,2.29,0,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-265,1996,19.3,0.73,0.41,0.16,0.31,0.26,0.1,0.57,18.2,0.47,14,3.83,27.4,1.66,5.13,7.2,1.14,0.21,0,0.93,0.47,1.19,0.67,0,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-302,2001,15.3,3.79,2.03,2.88,0.65,0.26,1.37,2.42,56.8,1.05,20.7,6.6,32,11.9,5.75,3.01,1.9,0.13,0,1.76,1.76,5.56,1.57,0,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-352,1998,16.6,1.63,0.9,1.14,0.3,0.18,0.84,1.63,51.9,0.78,9.28,3.13,33.8,5.18,3.13,0.96,1.87,0.72,0.06,1.14,2.23,3.86,4.16,0.06,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-045,1995,8.5,1.41,0.59,0.59,0.71,0.12,0.47,0.71,66.7,0.24,6.24,1.76,28.3,2.47,3.29,0.47,1.18,0.59,0,0.59,1.88,3.29,3.18,0,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-137,1989,11.1,2.88,1.35,1.44,0.81,0.63,0.81,3.42,23.7,2.61,23.7,4.95,20.9,7.84,11.7,4.14,2.34,0.45,0.09,1.89,2.07,4.95,0.72,0,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-358,1991,12.2,3.77,2.54,1.07,1.97,0.74,0.74,2.46,30,1.72,18.2,6.97,38.3,4.84,9.43,3.93,1.39,0.08,0,1.31,1.97,5.74,0.98,0.16,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-179,1998,25.7,1.32,0.7,0.66,0.51,0.16,0.7,1.79,39.1,1.09,9.07,3,33,3.42,3.19,2.45,1.32,0.16,0.04,1.17,2.49,3.81,1.56,0.04,Matches
9,Alisson,,br BRA,GK,Liverpool,29-184,1992,28,0,0,0,0,0,0,0.07,0,0.07,0.18,0.07,40,0.18,0,0,0,0,0,0,0,0,0.04,0.04,Matches
10,Allan,,br BRA,MF,Everton,31-086,1991,21.5,3.21,2.65,1.3,1.67,0.23,1.02,3.58,28.6,2.56,25.8,8.56,33.2,9.86,13.4,2.51,1.86,0.37,0,1.49,1.63,4.84,1.4,0,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-358,1996,1.9,3.68,2.11,1.58,2.11,0,1.05,4.74,22.2,3.68,40.5,8.95,22.1,8.95,21.6,10,2.63,0.53,0,2.11,1.58,5.26,2.63,0,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-358,1996,7.3,2.6,0.96,1.51,0.82,0.27,0.68,2.33,29.4,1.64,28.6,7.53,26.3,11.1,12.6,4.93,3.42,0.68,0,2.74,2.33,4.93,1.64,0,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-053,1994,12.6,3.33,1.98,1.75,1.03,0.56,0.95,3.02,31.6,2.06,23.4,5.71,24.4,8.25,8.97,6.19,1.43,0.08,0.08,1.35,1.27,4.6,0.48,0,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-097,1990,16.7,2.04,1.26,1.02,0.6,0.42,0.78,1.56,50,0.78,12.9,3.47,26.9,5.81,4.19,2.93,1.86,0.24,0,1.62,3.05,5.09,2.69,0,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-208,1998,4.5,2,1.78,0.67,1.11,0.22,0.67,1.11,60,0.44,17.6,4.44,25.3,6.67,8.22,2.67,1.11,0.22,0,0.89,3.11,5.11,2.22,0,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-104,1994,17,1.06,0.53,0.59,0.47,0,0.71,1.35,52.2,0.65,7.06,2.35,33.3,3.94,2.82,0.29,2.18,1.18,0.06,1,1.47,2.53,5,0.12,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-308,1996,23.4,1.07,0.6,0.73,0.34,0,0.47,0.94,50,0.47,4.57,1.32,29,2.91,1.45,0.21,1.28,0.6,0,0.68,2.09,3.16,5.13,0.09,Matches
