,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-090,2000,26.6,1.2,1.2,0.86,0.04,0.11,0.11,0.08,0,0.15,0.15,0.15,0,0,0,0,0,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-265,1996,19.3,2.33,2.34,1.45,0,0.05,0.21,0.57,0.05,0.21,0.21,0.16,0,0,0,0,0.05,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-302,2001,15.3,2.35,2.36,1.37,0.59,0.26,0,0.07,0.07,0.39,0.39,0.26,0.07,0,0,0.07,0,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-352,1998,16.6,1.02,1.02,0.84,0.06,0,0.06,0.06,0,0.18,0.18,0.12,0,0,0,0.06,0,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-045,1995,8.5,0.35,0.35,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-137,1989,11.1,1.35,1.35,0.9,0.27,0,0,0.18,0,0.09,0.09,0.09,0,0,0,0,0,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-358,1991,12.2,3.77,3.77,3.2,0,0,0.41,0,0.16,0.33,0.33,0.33,0,0,0,0,0,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-179,1998,25.7,4.98,4.98,2.84,1.79,0.16,0.16,0.04,0,0.58,0.58,0.35,0.19,0,0.04,0,0,Matches
9,Alisson,,br BRA,GK,Liverpool,29-184,1992,28,0.11,0.11,0.11,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
10,Allan,,br BRA,MF,Everton,31-086,1991,21.5,1.44,1.44,1.4,0,0,0,0.05,0,0.28,0.28,0.23,0,0,0,0.05,0,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-358,1996,1.9,3.16,3.09,2.63,0.53,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-358,1996,7.3,1.1,1.1,0.68,0,0,0,0.41,0,0.14,0.14,0,0,0,0,0.14,0,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-053,1994,12.6,2.7,2.69,1.83,0,0.16,0.56,0.08,0.08,0.24,0.24,0.24,0,0,0,0,0,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-097,1990,16.7,3.29,3.3,2.46,0.48,0.12,0.18,0.06,0,0.48,0.48,0.36,0.06,0,0.06,0,0,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-208,1998,4.5,1.56,1.56,1.56,0,0,0,0,0,0.22,0.22,0.22,0,0,0,0,0,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-104,1994,17,0.65,0.65,0.59,0,0,0,0,0.06,0,0,0,0,0,0,0,0,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-308,1996,23.4,0.94,0.94,0.77,0.04,0,0.04,0,0.09,0.13,0.13,0.09,0,0,0.04,0,0,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,32-007,1990,28.6,3.25,3.25,2.13,0,0.35,0.35,0.24,0.17,0.52,0.52,0.28,0,0.03,0.14,0.03,0.03,Matches
19,Cameron Archer,,eng ENG,MFFW,Aston Villa,20-257,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Alphonse Areola,,fr FRA,GK,West Ham,29-036,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Adam Armstrong,,eng ENG,FWMF,Southampton,25-053,1997,13.5,1.93,1.92,1.11,0,0.3,0.3,0.22,0,0.22,0.22,0.15,0,0,0,0.07,0,Matches
22,Stuart Armstrong,,sct SCO,MF,Southampton,30-005,1992,11,3.27,3.26,2.73,0.09,0.18,0.09,0.18,0,0.09,0.09,0.09,0,0,0,0,0,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-183,1994,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-141,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-290,1989,11.5,2,2,1.22,0,0.09,0.43,0.26,0,0.26,0.26,0.17,0,0,0.09,0,0,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-205,1991,17.3,2.25,2.25,1.45,0.06,0.06,0.12,0.4,0.17,0.29,0.29,0.17,0,0,0,0.06,0.06,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-222,1991,22,0.91,0.91,0.64,0,0,0.27,0,0,0.14,0.14,0,0,0,0.14,0,0,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-219,1989,16.9,2.19,2.18,2.01,0,0.12,0.06,0,0,0.47,0.47,0.36,0,0.06,0.06,0,0,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-269,1994,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-238,1997,6.8,2.94,2.95,2.06,0.15,0.29,0.15,0.29,0,0.44,0.44,0.29,0,0.15,0,0,0,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-357,1994,2.4,0.42,0.41,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-275,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-211,1993,6.2,1.94,1.93,1.45,0,0.16,0,0.16,0.16,0.48,0.48,0.32,0,0.16,0,0,0,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-361,1998,9.8,1.73,1.74,1.33,0,0.1,0.1,0,0.2,0.2,0.2,0.1,0,0,0,0,0.1,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-120,1993,1.7,10,9.94,6.47,1.76,1.18,0,0.59,0,1.76,1.75,1.76,0,0,0,0,0,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-156,1989,4.8,2.92,2.9,1.88,0,0,0.42,0.42,0.21,0,0,0,0,0,0,0,0,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-116,1997,18.4,2.5,2.5,1.85,0,0.43,0.11,0.11,0,0.43,0.43,0.33,0,0,0.11,0,0,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-157,2002,0.5,2,2.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-087,1999,4.2,1.19,1.18,0.48,0.71,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-357,1996,23.2,0.78,0.78,0.65,0.09,0,0,0,0.04,0,0,0,0,0,0,0,0,Matches
41,Donny van de Beek,,nl NED,MF,Everton,24-351,1997,4.8,1.04,1.05,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Donny van de Beek,,nl NED,MF,Manchester Utd,24-351,1997,0.8,6.25,6,5,0,1.25,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Asmir Begovic,,ba BIH,GK,Everton,34-288,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-237,1995,20.8,2.93,2.93,2.16,0,0.29,0.24,0.19,0.05,0.38,0.38,0.34,0,0,0.05,0,0,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-303,1997,7.6,2.5,2.49,2.37,0,0,0.13,0,0,0.53,0.52,0.53,0,0,0,0,0,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-122,1990,12.4,1.45,1.45,1.21,0,0.08,0.08,0.08,0,0.08,0.08,0.08,0,0,0,0,0,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-159,1990,12.2,1.56,1.55,1.15,0,0.08,0.08,0.16,0.08,0.16,0.16,0.16,0,0,0,0,0,Matches
