,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Name,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson,br BRA,GK,Liverpool,29-184,1992,28,28,2520,28,0.64,0.64,2.68,2.04,76,0.75,0.18,0.07,0.61,60.7,0,0,0,0,,Matches
2,Alphonse Areola,fr FRA,GK,West Ham,29-036,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-183,1994,4,4,360,4,0.5,0.5,3.25,2.75,84.6,0.5,0.25,0.25,0.5,50,0,0,0,0,,Matches
4,Daniel Bachmann,at AUT,GK,Watford,27-269,1994,11,11,990,11,2.36,2.36,5.55,3.55,62.3,0.09,0,0.91,0,0,0.27,0.27,0,0,0,Matches
5,Asmir Begovic,ba BIH,GK,Everton,34-288,1987,2,2,180,2,1.5,1.5,4.5,3.5,66.7,0.5,0,0.5,0.5,50,0,0,0,0,,Matches
6,Jack Butland,eng ENG,GK,Crystal Palace,29-025,1993,6,5,495,5.5,1.64,1.64,2.91,1.64,43.8,0.18,0.55,0.18,0,0,0.18,0,0.18,0,100,Matches
7,Willy Caballero,ar ARG,GK,Southampton,40-188,1981,2,2,180,2,2.5,2.5,5.5,3,54.5,0,0.5,0.5,0,0,0,0,0,0,,Matches
8,Karl Darlow,eng ENG,GK,Newcastle Utd,31-178,1990,8,8,720,8,1.88,1.87,4.63,3.13,64.9,0,0.63,0.38,0,0,0.25,0.25,0,0,0,Matches
9,Martin Dubravka,sk SVK,GK,Newcastle Utd,33-079,1989,18,18,1620,18,1.5,1.5,4,2.5,63.9,0.39,0.22,0.39,0.22,22.2,0.06,0.06,0,0,0,Matches
10,Ederson,br BRA,GK,Manchester City,28-230,1993,29,29,2610,29,0.62,0.62,2.24,1.59,73.8,0.76,0.14,0.1,0.59,58.6,0.03,0.03,0,0,0,Matches
11,Lukasz Fabianski,pl POL,GK,West Ham,36-351,1985,30,30,2700,30,1.3,1.3,4.03,2.67,69.4,0.5,0.2,0.3,0.23,23.3,0.1,0.07,0.03,0,33.3,Matches
12,Alvaro Fernandez,es ESP,GK,Brentford,23-356,1998,12,12,1080,12,2,2,5.58,3.83,65.7,0.25,0.17,0.58,0.08,8.3,0.08,0.08,0,0,0,Matches
13,Fraser Forster,eng ENG,GK,Southampton,34-018,1988,13,13,1170,13,1.54,1.54,4.38,3.08,68.4,0.38,0.31,0.31,0.15,15.4,0.15,0.15,0,0,0,Matches
14,Ben Foster,eng ENG,GK,Watford,39-001,1983,19,19,1710,19,1.63,1.63,3.74,2.16,57.7,0.26,0.21,0.53,0.16,15.8,0.11,0.05,0.05,0,50,Matches
15,David de Gea,es ESP,GK,Manchester Utd,31-148,1990,30,30,2700,30,1.37,1.37,4.7,3.43,72.3,0.47,0.3,0.23,0.23,23.3,0.17,0.07,0.1,0,60,Matches
16,Vicente Guaita,es ESP,GK,Crystal Palace,35-084,1987,24,24,2115,23.5,1.23,1.23,4,2.89,72.3,0.26,0.43,0.34,0.34,33.3,0.13,0.13,0,0,0,Matches
17,Angus Gunn,eng ENG,GK,Norwich City,26-072,1996,7,7,630,7,2.57,2.57,6,3.71,61.9,0.14,0.14,0.71,0.14,14.3,0.57,0.29,0.14,0.14,33.3,Matches
18,Wayne Hennessey,wls WAL,GK,Burnley,35-070,1987,2,2,180,2,3,3,6.5,3.5,53.8,0,0,1,0,0,0,0,0,0,,Matches
19,Caoimhin Kelleher,ie IRL,GK,Liverpool,23-132,1998,2,2,180,2,1,1,4,2.5,75,0.5,0.5,0,0.5,50,0,0,0,0,,Matches
20,Kristoffer Klaesson,no NOR,GK,Leeds United,21-128,2000,1,0,36,0.4,0,0,10,10,100,0,0,0,0,,0,0,0,0,,Matches
21,Tim Krul,nl NED,GK,Norwich City,34-001,1988,23,23,2070,23,1.96,1.96,5.09,3.35,66.7,0.13,0.22,0.65,0.17,17.4,0.35,0.26,0.04,0.04,14.3,Matches
22,Bernd Leno,de GER,GK,Arsenal,30-031,1992,4,4,360,4,2.25,2.25,4.75,2.25,52.6,0.25,0,0.75,0.25,25,0,0,0,0,,Matches
23,Hugo Lloris,fr FRA,GK,Tottenham,35-099,1986,30,30,2700,30,1.23,1.23,3.67,2.53,68.2,0.57,0.1,0.33,0.37,36.7,0.07,0.07,0,0,0,Matches
24,Jonas Lossl,dk DEN,GK,Brentford,33-062,1989,2,2,180,2,2.5,2.5,3.5,1,28.6,0,0,1,0,0,0,0,0,0,,Matches
25,Emiliano Martinez,ar ARG,GK,Aston Villa,29-214,1992,29,29,2610,29,1.34,1.34,3.72,2.52,66.7,0.38,0.1,0.52,0.31,31,0.17,0.1,0.03,0.03,25,Matches
26,Alex McCarthy,eng ENG,GK,Southampton,32-122,1989,15,15,1350,15,1.4,1.4,4,2.53,65,0.2,0.47,0.33,0.33,33.3,0,0,0,0,,Matches
27,Edouard Mendy,sn SEN,GK,Chelsea,30-034,1992,25,25,2250,25,0.84,0.84,2.92,2.28,78.1,0.6,0.28,0.12,0.44,44,0.2,0.2,0,0,0,Matches
28,Illan Meslier,fr FRA,GK,Leeds United,22-033,2000,31,31,2754,30.6,2.22,2.22,5.82,3.69,64.6,0.23,0.29,0.49,0.1,9.7,0.16,0.16,0,0,0,Matches
29,Jordan Pickford,eng ENG,GK,Everton,28-028,1994,26,26,2340,26,1.77,1.77,4.92,3.31,64.8,0.23,0.15,0.62,0.15,15.4,0.04,0.04,0,0,0,Matches
30,Nick Pope,eng ENG,GK,Burnley,29-350,1992,26,26,2340,26,1.31,1.31,4.27,2.92,70.3,0.12,0.46,0.42,0.27,26.9,0.04,0.04,0,0,0,Matches
31,Aaron Ramsdale,eng ENG,GK,Arsenal,23-325,1998,24,24,2160,24,0.92,0.92,3.71,2.75,78.7,0.67,0.13,0.21,0.5,50,0.13,0.13,0,0,0,Matches
32,David Raya,es ESP,GK,Brentford,26-201,1995,17,17,1530,17,1.12,1.12,4.47,3.41,76.3,0.35,0.24,0.41,0.29,29.4,0.06,0.06,0,0,0,Matches
33,Jose Sa,pt POR,GK,Wolves,29-077,1993,31,31,2790,31,0.87,0.87,3.94,3.29,82.8,0.48,0.13,0.39,0.35,35.5,0.19,0.19,0,0,0,Matches
34,Robert Sanchez,es ESP,GK,Brighton,24-137,1997,29,29,2609,29,1.17,1.17,3.93,2.83,72.8,0.24,0.45,0.31,0.28,27.6,0.14,0.1,0,0.03,0,Matches
35,Kasper Schmeichel,dk DEN,GK,Leicester City,35-150,1986,28,28,2520,28,1.68,1.68,4.93,3.5,70.3,0.36,0.25,0.39,0.18,17.9,0.29,0.21,0.04,0.04,14.3,Matches
36,Jason Steele,eng ENG,GK,Brighton,31-229,1990,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,Matches
37,Jed Steer,eng ENG,GK,Aston Villa,29-193,1992,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,Matches
38,Zack Steffen,us USA,GK,Manchester City,27-002,1995,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,Matches
39,Freddie Woodman,eng ENG,GK,Newcastle Utd,25-031,1997,4,4,360,4,3,3,4.75,2.25,47.4,0,0.25,0.75,0,0,0.75,0.5,0.25,0,33.3,Matches
