,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Name,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FKG,CKG,OG,PSxG,PSxG/SoT,PSxG+/-,PSxG-GA/90,Launched Cmp,Launched Att,Launched Cmp%,Pass Att,Throws,Launch%,Pass AvgLen,GK Att,GK Launch%,Gk AvgLen,Opp Cross,Stp Cross,Stp% Cross,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br BRA,GK,Liverpool,29-184,1992,28,0.64,0,0,0.07,0.04,0.77,0.29,0.16,0.16,4.64,8.96,51.8,32.5,5.39,21.4,29.8,4.68,42.7,38.7,6.32,0.61,9.6,1.46,1.46,0.63,Matches
2,Alphonse Areola,fr FRA,GK,West Ham,29-036,1993,1,1,0,0,0,0,1.2,0.39,0.2,0.17,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0,7,Matches
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-183,1994,4,0.5,0,0,0.25,0,0.82,0.26,0.33,0.34,4,9.75,41,29.5,7,28,30.8,5.25,28.6,30.2,7.75,0.25,3.2,1.25,1.25,4.05,Matches
4,Daniel Bachmann,at AUT,GK,Watford,27-269,1994,11,2.36,0.27,0.09,0.36,0.18,1.95,0.31,-0.24,-0.23,7.27,18.7,38.8,22.5,3.64,60.9,47.1,7.27,68.8,51.5,9.18,0.27,3,0.73,0.73,1.25,Matches
5,Asmir Begovic,ba BIH,GK,Everton,34-288,1987,2,1.5,0,0,0,0.5,1.1,0.25,0.1,0.11,6.5,23.5,27.7,16,1.5,87.5,57.3,11.5,82.6,58.5,6,0.5,8.3,0,0,7.35,Matches
6,Jack Butland,eng ENG,GK,Crystal Palace,29-025,1993,5.5,1.64,0,0.18,0.18,0.36,1.25,0.38,-0.02,-0.02,3.82,13.3,28.8,26.2,4.18,36.1,33.1,8,47.7,40,10.4,0.55,5.3,0.36,0.36,2.2,Matches
7,Willy Caballero,ar ARG,GK,Southampton,40-188,1981,2,2.5,0,0,0.5,0,2.15,0.4,-0.35,-0.36,10,19.5,51.3,23,0,58.7,42.1,6.5,92.3,59.1,10.5,0.5,4.8,2,2,10.8,Matches
8,Karl Darlow,eng ENG,GK,Newcastle Utd,31-178,1990,8,1.88,0.25,0,0.13,0.13,1.32,0.24,-0.42,-0.42,9.38,21.5,43.6,23.6,3.63,64.6,49.8,8,78.1,59.8,8.63,1,11.6,0.5,0.5,1.86,Matches
9,Martin Dubravka,sk SVK,GK,Newcastle Utd,33-079,1989,18,1.5,0.06,0,0.22,0.06,1.62,0.4,0.17,0.17,9.33,20.1,46.4,23.1,3.28,50.2,41.5,9.44,90,62.1,8.56,0.72,8.4,0.22,0.22,0.67,Matches
