,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-078,2000,26.6,6,0,0,27,47,1,40,42,35,0,2,1,145,14,44,24.1,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-253,1996,18.3,0,0,0,25,38,7,9,9,6,0,0,0,105,43,85,33.6,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-290,2001,15.3,4,0,0,16,16,2,40,27,31,1,0,0,102,18,19,48.6,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-340,1998,15.6,4,0,0,16,16,0,7,36,14,0,0,0,138,50,28,64.1,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-033,1995,7.5,0,0,0,6,2,0,0,16,4,0,0,0,56,31,5,86.1,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-125,1989,11.1,2,0,0,7,13,1,23,22,15,0,0,0,63,6,11,35.3,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-346,1991,11.2,1,0,0,18,12,0,0,21,28,0,0,0,158,28,12,70,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-167,1998,25.7,1,0,0,11,8,7,102,64,18,0,0,0,254,15,19,44.1,Matches
9,Alisson,,br BRA,GK,Liverpool,29-172,1992,27,0,0,0,0,4,0,0,0,0,0,0,1,166,0,0,,Matches
10,Allan,,br BRA,MF,Everton,31-074,1991,21.5,6,1,0,35,27,0,5,35,57,1,0,0,245,10,13,43.5,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-346,1996,1.9,1,0,0,5,2,2,1,3,4,0,0,0,21,6,8,42.9,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-346,1996,7.3,1,0,0,13,15,2,3,17,7,1,0,0,46,11,13,45.8,Matches
