,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-090,2000,26.6,0.23,0,0,1.02,1.77,0.04,1.5,1.62,1.32,0,0.08,0.04,5.45,0.53,1.65,24.1,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-265,1996,19.3,0,0,0,1.35,2.07,0.36,0.52,0.47,0.41,0,0,0,5.65,2.38,4.77,33.3,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-302,2001,15.3,0.26,0,0,1.05,1.05,0.13,2.61,1.76,2.03,0.07,0,0,6.67,1.18,1.24,48.6,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-352,1998,16.6,0.24,0,0,0.96,0.96,0,0.42,2.23,0.9,0,0,0,8.73,3.19,1.99,61.6,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-045,1995,8.5,0,0,0,0.82,0.47,0,0,1.88,0.59,0,0,0,7.29,4.12,0.82,83.3,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-137,1989,11.1,0.18,0,0,0.63,1.17,0.09,2.07,2.07,1.35,0,0,0,5.77,0.54,0.99,35.3,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-358,1991,12.2,0.08,0,0,1.56,0.98,0,0.08,1.97,2.54,0,0,0,13.5,2.46,1.15,68.2,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-179,1998,25.7,0.04,0,0,0.43,0.31,0.27,3.97,2.49,0.7,0,0,0,9.88,0.58,0.74,44.1,Matches
9,Alisson,,br BRA,GK,Liverpool,29-184,1992,28,0,0,0,0,0.18,0,0,0,0,0,0,0.04,6.21,0,0,,Matches
10,Allan,,br BRA,MF,Everton,31-086,1991,21.5,0.28,0.05,0,1.63,1.26,0,0.23,1.63,2.65,0.05,0,0,11.4,0.47,0.6,43.5,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-358,1996,1.9,0.53,0,0,2.63,1.05,1.05,0.53,1.58,2.11,0,0,0,11.1,3.16,4.21,42.9,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-358,1996,7.3,0.14,0,0,1.78,2.05,0.27,0.41,2.33,0.96,0.14,0,0,6.3,1.51,1.78,45.8,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-053,1994,12.6,0.08,0,0,1.19,1.51,0.4,1.43,1.27,1.98,0,0,0,7.38,0.32,1.03,23.5,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-097,1990,16.7,0.36,0,0,1.5,1.38,0.12,2.63,3.05,1.26,0,0.06,0,8.44,2.34,1.02,69.6,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-208,1998,4.5,0,0,0,1.33,1.78,0,0.44,3.11,1.78,0,0,0,13.3,1.56,2.67,36.8,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-104,1994,17,0.06,0,0,0.71,0.47,0.06,0,1.47,0.53,0,0,0,8.29,1.82,1.53,54.4,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-308,1996,23.4,0.13,0,0,0.56,0.21,0.04,0.21,2.09,0.6,0,0,0.04,7.86,2.44,1.11,68.7,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,32-007,1990,28.6,0.24,0.03,0.03,1.43,2.06,0.42,1.71,0.38,0.66,0,0,0,4.09,2.52,4.58,35.5,Matches
