,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-090,2000,26.6,33.9,45.3,75,572,218.9,17.4,19.3,90.3,13.1,17.2,76.4,3.05,6.95,43.8,0.04,0.03,0,0.53,1.58,1.17,0.26,3.08,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-265,1996,19.3,13.8,20.3,67.9,207,42.5,8.03,10.4,77.1,3.99,5.39,74,0.98,2.02,48.7,0.16,0.13,0.03,1.09,0.73,0.57,0.05,1.4,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-302,2001,15.3,36.7,49.5,74.1,631.7,218.4,19,20.8,91.2,13.9,17.8,78.3,3.66,8.69,42.1,0.13,0.08,0.05,0.98,1.24,0.78,0.46,1.96,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-352,1998,16.6,26.9,37.9,70.9,480.5,226.4,10.6,12.8,83,13,16.7,77.3,2.53,5.78,43.8,0.12,0.06,0.06,0.24,2.05,0.42,0.06,3.19,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-045,1995,8.5,76.6,82.8,92.5,1421.5,417.2,32.1,33.6,95.5,36.1,38.7,93.3,7.76,9.53,81.5,0,0.06,-0.06,0.24,5.65,0.35,0,3.29,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-137,1989,11.1,24.4,39.5,61.7,387.7,167.9,15,17.7,85.2,7.21,11.2,64.5,1.62,7.84,20.7,0.09,0.12,-0.03,0.81,1.44,0.72,0.27,1.8,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-358,1991,12.2,73.8,83.4,88.4,1549.9,427,25.5,28.1,90.7,34,36.9,92.2,13.4,16.4,81.5,0.16,0.14,0.02,1.64,10.7,1.07,0,10.1,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-179,1998,25.7,62.6,84.2,74.4,1376.8,567.5,23.4,26.5,88.4,24.5,30.6,79.9,14,24.3,57.6,0.43,0.37,0.05,2.96,6.85,2.84,0.7,9.26,Matches
9,Alisson,,br BRA,GK,Liverpool,29-184,1992,28,32.3,37.2,86.7,856.5,477,5.04,5.11,98.6,18.3,18.5,98.8,8.79,13.5,65.3,0.04,0.01,0.02,0.07,0.43,0,0,0,Matches
10,Allan,,br BRA,MF,Everton,31-086,1991,21.5,32.6,41.3,78.9,632.8,188.7,12,14,85.7,15.3,18.1,84.3,4.47,6.98,64,0.09,0.04,0.05,0.7,4.28,0.88,0.09,4.79,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-358,1996,1.9,36.3,48.9,74.2,559.5,147.4,17.4,22.1,78.6,12.1,15.3,79.3,3.16,5.79,54.5,0,0.16,-0.16,2.63,3.68,1.05,0,4.74,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-358,1996,7.3,22.9,29.3,78,368.1,89.2,12.9,14.8,87,7.67,9.45,81.2,1.92,3.7,51.9,0,0.11,-0.11,0.27,1.78,0.68,0,2.6,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-053,1994,12.6,20.6,26.3,78,320.6,77.7,11.5,13.1,87.9,6.83,8.73,78.2,1.67,2.7,61.8,0,0.04,-0.04,0.95,1.11,0.48,0.16,1.75,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-097,1990,16.7,44.1,57.5,76.6,777.1,287.4,21.4,24.1,88.8,17.4,21.4,81.5,4.31,9.28,46.5,0.18,0.17,0.01,1.62,3.17,1.2,0.54,4.43,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-208,1998,4.5,46,52,88.5,804.2,200,20.4,22.7,90.2,18.9,20,94.4,5.33,7.11,75,0,0.04,-0.04,0.67,3.78,0.67,0.22,3.78,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-104,1994,17,50.9,56.2,90.6,1031.7,308.8,15.5,16.4,94.6,28.2,29.8,94.5,6.76,8.65,78.2,0,0.01,-0.01,0.12,1.59,0,0,2.18,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-308,1996,23.4,55.1,66.2,83.3,1417.7,424.7,10.1,11.4,88.7,29.1,31.2,93.6,15.7,23.2,67.8,0.04,0.05,0,0.47,4.27,0.26,0.09,2.61,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,32-007,1990,28.6,14.6,22.2,65.6,237.6,47,8.04,10.5,76.4,4.37,6.43,67.9,1.5,2.8,53.8,0.24,0.22,0.02,1.54,0.8,0.94,0.38,1.26,Matches
19,Cameron Archer,,eng ENG,MFFW,Aston Villa,20-257,2001,0.3,16.7,16.7,100,303.3,93.3,3.33,3.33,100,13.3,13.3,100,0,0,,0,0,0,0,0,3.33,0,10,Matches
20,Alphonse Areola,,fr FRA,GK,West Ham,29-036,1993,1,20,41,48.8,768,546,0,0,,9,9,100,11,32,34.4,0,0,0,0,0,0,0,0,Matches
21,Adam Armstrong,,eng ENG,FWMF,Southampton,25-053,1997,13.5,13.9,20,69.6,236.2,37.6,6.52,8.52,76.5,6,8,75,1.04,2.07,50,0.15,0.13,0.02,0.89,0.89,0.81,0,1.48,Matches
22,Stuart Armstrong,,sct SCO,MF,Southampton,30-005,1992,11,37.4,46.3,80.7,600.1,146.7,19.6,23.5,83.4,13.7,15.9,86.3,2.82,4.09,68.9,0,0.09,-0.09,1.73,2,1.45,0.18,4.36,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-183,1994,4,28.8,34.8,82.7,690.8,323.5,7,7,100,14.8,14.8,100,6.75,12.8,52.9,0,0,0,0,0.25,0,0,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-141,2001,0.1,70,80,87.5,1420,180,20,20,100,40,50,80,10,10,100,0,0,0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-290,1989,11.5,12.6,17.8,70.7,175.3,33.3,8.17,10.2,80.3,3.48,5.39,64.5,0.7,1.22,57.1,0.09,0.07,0.02,0.78,0.35,0.87,0.09,1.13,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-205,1991,17.3,26.4,34.7,75.9,404.5,78.4,14.9,16.8,88.7,9.13,11.4,79.8,1.68,3.82,43.9,0.17,0.13,0.05,1.1,1.21,0.81,0.29,1.97,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-222,1991,22,49.5,62.3,79.4,1055.3,443.2,17.5,19.8,88.1,22.6,25.9,87.5,9,15,60,0.09,0.03,0.06,0.27,4.23,0.45,0.14,5.05,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-219,1989,16.9,60.7,73.6,82.5,1020.6,399.6,29.3,32.5,90.2,27.2,31.2,87.1,3.73,7.69,48.5,0.12,0.11,0.01,0.89,4.08,0.95,0.06,5.5,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-269,1994,11,17.6,29.8,59.1,671.5,458.6,1.82,1.82,100,6.91,7.18,96.2,8.91,20.8,42.8,0,0,0,0,0.82,0,0,0,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-238,1997,6.8,18.7,27.9,66.8,331.9,74.1,8.53,10,85.3,6.62,9.56,69.2,2.65,6.18,42.9,0.29,0.09,0.21,1.03,0.59,1.32,0.44,2.35,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-357,1994,2.4,26.7,33.3,80,568.8,191.3,10,10.8,92.3,10.8,12.5,86.7,5.83,9.17,63.6,0,0,0,0,0.83,0,0,1.25,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-275,2001,0.8,5,10,50,75,7.5,2.5,5,50,2.5,3.75,66.7,0,1.25,0,0,0,0,0,0,0,0,0,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-211,1993,6.2,13.7,16.6,82.5,217.6,34,7.74,8.55,90.6,4.19,5,83.9,1.45,2.1,69.2,0.32,0.16,0.16,0.97,0.97,0.81,0.32,1.13,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-361,1998,9.8,23.8,28.7,82.9,416,81.7,11.5,13.2,87.6,8.98,10.5,85.4,2.65,3.67,72.2,0.1,0.05,0.05,0.92,2.14,0.61,0.1,2.04,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-120,1993,1.7,52.9,64.7,81.8,882.4,201.2,29.4,32.4,90.9,15.3,18.8,81.3,6.47,8.24,78.6,0,0.29,-0.29,4.12,3.53,3.53,0,5.88,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-156,1989,4.8,14.4,21.5,67,206.7,56.7,9.58,12.5,76.7,3.54,5.21,68,1.04,2.08,50,0,0.17,-0.17,1.46,1.88,0.63,0,1.88,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-116,1997,18.4,22.5,30.7,73.3,318.8,96.2,14,16.7,84,6.63,9.46,70.1,1.09,2.45,44.4,0.33,0.14,0.18,1.2,1.2,0.98,0.11,3.21,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-157,2002,0.5,30,38,78.9,362,62,24,30,80,6,6,100,0,2,0,0,0,0,0,0,0,0,2,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-087,1999,4.2,42.9,57.1,75,857.6,353.6,14,16.4,85.5,22.4,26.4,84.7,5.71,12.4,46.2,0,0.02,-0.02,0.71,3.1,0.48,0.48,1.19,Matches
