,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-078,2000,26.6,1204,913,291,21,2,143,17,40,0,0,0,0,690,259,255,134,762,24,270,2,903,7,24,44,46,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-253,1996,18.3,364,354,10,0,3,104,4,9,0,0,0,0,234,74,56,34,266,18,1,11,247,2,9,20,24,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-290,2001,15.3,758,590,168,13,1,108,27,40,27,8,16,1,420,160,178,506,85,29,128,0,562,2,22,25,25,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-340,1998,15.6,601,494,107,6,0,104,5,7,0,0,0,0,289,165,147,34,376,49,101,2,423,4,18,20,29,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-033,1995,7.5,590,570,20,4,0,50,4,0,0,0,0,0,503,44,43,430,104,20,16,2,545,0,3,3,3,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-125,1989,11.1,439,358,81,8,0,82,31,23,34,23,6,1,239,90,110,29,346,19,38,1,271,4,5,27,29,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-346,1991,11.2,929,915,14,9,2,146,39,0,0,0,0,0,706,86,137,66,809,25,2,3,824,1,11,30,11,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-167,1998,25.7,2163,1716,447,81,17,194,164,102,108,22,74,1,1119,375,669,235,1605,50,258,5,1610,5,32,90,62,Matches
9,Alisson,,br BRA,GK,Liverpool,29-172,1992,27,1008,831,177,48,1,63,24,0,0,0,0,0,728,44,236,73,766,2,0,142,872,0,15,12,0,Matches
10,Allan,,br BRA,MF,Everton,31-074,1991,21.5,887,830,57,20,0,136,16,5,0,0,0,0,607,108,172,84,752,30,10,3,700,5,12,42,27,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-346,1996,1.9,93,86,7,2,1,19,1,1,1,0,0,0,69,14,10,3,80,1,3,1,69,3,3,8,2,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-346,1996,7.3,214,202,12,6,0,42,2,3,0,0,0,0,149,33,32,10,180,12,3,3,167,1,2,11,7,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-041,1994,12.6,332,325,7,2,0,52,5,18,1,1,0,0,256,31,45,300,13,10,3,3,259,1,5,8,15,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-085,1990,16.1,898,707,191,18,1,137,30,43,40,27,11,0,517,193,188,650,62,26,133,1,682,2,14,34,36,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-196,1998,4.5,234,231,3,2,0,33,4,2,0,0,0,0,178,24,32,15,199,12,1,0,207,0,2,6,3,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-092,1994,16.7,946,928,18,13,0,91,9,0,0,0,0,0,803,52,91,82,803,43,4,2,857,2,8,14,13,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-296,1996,23.4,1549,1490,59,51,2,109,66,5,1,0,0,1,1030,111,408,128,1295,80,4,6,1290,2,38,33,9,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,31-360,1990,27.6,612,583,29,2,6,184,20,49,1,0,0,0,352,133,127,92,425,26,12,7,397,6,18,30,50,Matches
19,Cameron Archer,,eng ENG,MFFW,Aston Villa,20-245,2001,0.3,5,5,0,0,0,1,0,0,0,0,0,0,4,1,0,1,3,0,0,1,5,0,0,0,0,Matches
20,Alphonse Areola,,fr FRA,GK,West Ham,29-024,1993,1,41,24,17,3,0,6,0,0,0,0,0,0,11,1,29,2,35,0,0,3,20,0,0,1,0,Matches
21,Adam Armstrong,,eng ENG,FWMF,Southampton,25-041,1997,13.5,270,244,26,0,1,52,7,20,0,0,0,0,186,45,39,52,193,13,2,3,188,1,2,13,12,Matches
22,Stuart Armstrong,,sct SCO,MF,Southampton,29-358,1992,10.7,500,481,19,2,0,85,8,14,0,0,0,0,389,64,47,77,399,13,3,4,403,2,6,27,17,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-171,1994,4,139,110,29,8,0,18,4,0,0,0,0,0,95,7,37,13,96,0,0,28,115,0,3,0,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-129,2001,0.1,8,7,1,0,0,0,0,0,0,0,0,0,5,2,1,0,6,1,1,0,7,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-278,1989,11.5,205,198,7,0,1,62,3,9,0,0,0,0,120,47,38,27,151,8,1,1,145,1,2,8,11,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-193,1991,17.3,601,593,8,2,1,104,13,42,0,0,0,0,432,88,81,24,525,21,6,6,456,2,11,19,36,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-210,1991,21,1303,1178,125,31,2,176,42,21,0,0,0,0,812,190,301,121,1012,49,93,3,1043,9,21,51,22,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-207,1989,15.9,1140,1009,131,21,0,115,9,31,0,0,0,0,767,172,201,83,864,62,110,3,935,6,13,35,34,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-257,1994,11,328,214,114,34,0,18,8,0,0,0,0,0,110,13,205,18,244,0,0,40,194,2,11,4,1,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-226,1997,5.8,170,155,15,1,0,27,8,19,11,11,0,0,93,30,47,115,41,4,3,1,114,0,2,4,5,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-345,1994,2.4,80,76,4,4,0,10,2,0,0,0,0,0,56,6,18,16,52,7,0,1,64,0,1,2,2,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-263,2001,0.8,8,8,0,0,0,3,0,0,0,0,0,0,4,3,1,1,6,1,0,0,4,0,0,2,0,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-199,1993,6.2,103,87,16,0,1,19,4,4,0,0,0,0,76,18,9,74,18,8,1,1,85,0,4,1,4,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-349,1998,9.8,281,280,1,1,0,58,3,5,0,0,0,0,213,32,36,37,224,11,0,1,233,0,5,11,4,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-108,1993,1.7,110,103,7,0,2,27,3,1,7,0,5,1,85,10,15,15,88,2,0,0,90,0,1,4,4,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-144,1989,4.7,102,99,3,0,0,49,2,1,0,0,0,0,55,29,18,10,63,7,0,3,68,4,4,2,4,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-104,1997,17.4,530,527,3,0,1,119,11,32,0,0,0,0,371,80,79,61,431,19,1,4,388,2,9,28,26,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-145,2002,0.5,19,19,0,0,0,6,0,0,0,0,0,0,11,6,2,11,6,2,0,0,15,0,0,0,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-075,1999,4.2,240,196,44,2,0,17,1,11,0,0,0,0,149,25,66,150,34,11,42,0,180,1,3,6,6,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-345,1996,22.2,1165,1100,65,36,0,150,25,3,0,0,0,0,804,99,262,166,835,83,28,3,974,1,26,16,5,Matches
41,Donny van de Beek,,nl NED,MF,Manchester Utd,24-339,1997,0.8,32,32,0,0,1,8,0,0,0,0,0,0,27,3,2,4,26,0,0,0,25,1,0,2,1,Matches
42,Donny van de Beek,,nl NED,MF,Everton,24-339,1997,4.8,230,224,6,1,0,36,2,6,1,1,0,0,183,18,29,32,182,10,1,0,194,1,3,6,4,Matches
43,Asmir Begovi?,,ba BIH,GK,Everton,34-276,1987,2,55,29,26,3,0,1,1,0,0,0,0,0,5,3,47,1,44,0,0,3,21,0,3,1,1,Matches
