,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-090,2000,26.6,45.3,34.3,10.9,0.79,0.08,5.41,0.64,1.5,0,0,0,0,25.9,9.74,9.59,5.04,28.6,0.9,10.2,0.08,33.9,0.26,0.9,1.65,1.73,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-265,1996,19.3,20.3,19.7,0.62,0,0.16,5.96,0.41,0.52,0,0,0,0,13.1,4.09,3.16,1.81,15,0.93,0.05,0.57,13.8,0.1,0.47,1.04,1.3,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-302,2001,15.3,49.5,38.6,11,0.85,0.07,7.06,1.76,2.61,1.76,0.52,1.05,0.07,27.5,10.5,11.6,33.1,5.56,1.9,8.37,0,36.7,0.13,1.44,1.63,1.63,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-352,1998,16.6,37.9,31.1,6.75,0.36,0,6.63,0.3,0.42,0,0,0,0,18.3,10.4,9.16,2.11,23.8,3.13,6.39,0.12,26.9,0.24,1.14,1.27,1.81,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-045,1995,8.5,82.8,79.4,3.41,1.53,0,6.71,0.59,0,0,0,0,0,70.8,6,6,61.1,14.9,2.47,1.88,0.24,76.6,0,0.35,0.59,0.47,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-137,1989,11.1,39.5,32.3,7.3,0.72,0,7.39,2.79,2.07,3.06,2.07,0.54,0.09,21.5,8.11,9.91,2.61,31.2,1.71,3.42,0.09,24.4,0.36,0.45,2.43,2.61,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-358,1991,12.2,83.4,82.1,1.31,0.82,0.16,12.9,3.52,0.08,0,0,0,0,63.7,7.79,12,5.74,73,2.21,0.25,0.25,73.8,0.08,0.98,2.87,1.23,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-179,1998,25.7,84.2,66.8,17.4,3.15,0.66,7.55,6.38,3.97,4.2,0.86,2.88,0.04,43.5,14.6,26,9.14,62.5,1.95,10,0.19,62.6,0.19,1.25,3.46,2.41,Matches
9,Alisson,,br BRA,GK,Liverpool,29-184,1992,28,37.2,30.8,6.43,1.75,0.04,2.39,0.89,0,0,0,0,0,26.9,1.68,8.64,2.61,28.3,0.07,0,5.39,32.3,0,0.54,0.46,0,Matches
