sofifa_id,player_url,short_name,Name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
232938,https://sofifa.com/player/232938/takehiro-tomiyasu/220002,T. Tomiyasu,Takehiro Tomiyasu,Takehiro Tomiyasu,"CB, RB",75,85,1.20E+07,49000,22,11/5/1998,188,84,1,Arsenal,English Premier League,1,SUB,18,NA,8/31/2021,2026,163,Japan,NA,NA,NA,Right,5,2,1,Medium/High,Lean (185+),No,25200000,NA,NA,68,32,63,69,76,77,62,29,69,71,30,68,48,37,66,71,68,68,70,71,70,42,70,80,77,28,73,76,38,59,37,60,77,77,77,9,14,6,5,11,NA,54+2,54+2,54+2,60,57,57,57,60,60+2,60+2,60+2,63+2,65+2,65+2,65+2,63+2,73+2,73+2,73+2,73+2,73+2,73+2,75+2,75+2,75+2,73+2,16+2,https://cdn.sofifa.net/players/232/938/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/jp.png
226627,https://sofifa.com/player/226627/takumi-minamino/220002,Takumi Minamino,Takumi Minamino,Takumi Minamino,"RW, ST, LM",75,76,6500000,84000,26,1/16/1995,174,67,9,Liverpool,English Premier League,1,RES,18,NA,1/1/2020,2024,163,Japan,NA,NA,NA,Right,4,3,1,High/Medium,Lean (170-185),No,12500000,NA,Solid Player,79,73,69,81,36,63,66,75,50,71,70,81,73,69,63,78,83,75,89,71,86,71,76,76,55,73,61,49,70,70,72,79,32,30,26,9,12,8,15,14,NA,71+2,71+2,71+2,75,74,74,74,75,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,59+2,56+2,56+2,56+2,59+2,55+2,47+2,47+2,47+2,55+2,19+2,https://cdn.sofifa.net/players/226/627/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/jp.png
200104,https://sofifa.com/player/200104/heung-min-son/220002,H. Son,Son Heung-min,Son Heung-min,"LM, CF, LW",89,89,1.04E+08,220000,28,7/8/1992,183,78,18,Tottenham Hotspur,English Premier League,1,LW,7,NA,8/28/2015,2025,167,Korea Republic,NA,NA,NA,Right,5,4,4,High/High,Unique,Yes,197600000,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",88,87,82,86,43,69,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10,NA,85+3,85+3,85+3,87,87,87,87,87,86+3,86+3,86+3,86+3,80+3,80+3,80+3,86+3,68+3,64+3,64+3,64+3,68+3,64+3,54+3,54+3,54+3,64+3,19+3,https://cdn.sofifa.net/players/200/104/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/kr.png
226380,https://sofifa.com/player/226380/hee-chan-hwang/220002,Hwang Hee Chan,Hwang Hee-chan,Hwang Hee-chan,ST,75,78,7500000,58000,25,1/26/1996,177,77,110,Wolverhampton Wanderers,English Premier League,1,SUB,26,RB Leipzig,NA,2022,167,Korea Republic,NA,NA,NA,Right,4,3,1,High/Medium,Normal (170-185),Yes,NA,#Acrobat,Technical Dribbler (AI),84,75,70,78,28,68,69,78,61,74,75,79,61,44,65,76,91,79,91,75,71,74,83,74,67,71,57,22,77,77,72,74,28,23,24,11,7,10,11,15,NA,75+2,75+2,75+2,77,77,77,77,77,77+1,77+1,77+1,76+2,69+2,69+2,69+2,76+2,56+2,52+2,52+2,52+2,56+2,52+2,44+2,44+2,44+2,52+2,18+2,https://cdn.sofifa.net/players/226/380/22_120.png,https://cdn.sofifa.net/teams/110/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/kr.png
237286,https://sofifa.com/player/237286/aaron-connolly/220002,A. Connolly,Aaron Connolly,Aaron Connolly,ST,70,77,3300000,23000,21,1/28/2000,175,73,1808,Brighton & Hove Albion,English Premier League,1,SUB,7,NA,7/1/2017,2024,25,Republic of Ireland,1355,SUB,18,Right,3,2,1,Medium/Low,Stocky (170-185),Yes,6900000,NA,NA,75,70,50,71,20,64,40,70,66,65,67,69,32,39,42,72,78,73,77,73,76,74,72,67,61,69,68,16,72,47,61,63,12,18,15,12,8,12,13,12,NA,70+2,70+2,70+2,67,69,69,69,67,66+2,66+2,66+2,65+2,58+2,58+2,58+2,65+2,46+2,44+2,44+2,44+2,46+2,43+2,39+2,39+2,39+2,43+2,18+2,https://cdn.sofifa.net/players/237/286/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1355/60.png,https://cdn.sofifa.net/flags/ie.png
189615,https://sofifa.com/player/189615/aaron-cresswell/220002,A. Cresswell,Aaron Cresswell,Aaron Cresswell,"LB, CB",79,79,12500000,66000,31,12/15/1989,175,66,19,West Ham United,English Premier League,1,LB,3,NA,7/3/2014,2023,14,England,NA,NA,NA,Left,3,3,2,High/Medium,Normal (170-185),Yes,23800000,NA,Early Crosser,70,60,75,76,77,68,83,54,68,77,48,76,80,73,69,77,73,67,73,78,81,71,86,74,61,66,73,77,60,68,59,72,78,78,79,14,7,9,9,12,NA,67+2,67+2,67+2,72,70,70,70,72,71+2,71+2,71+2,73+2,73+2,73+2,73+2,73+2,77+2,75+2,75+2,75+2,77+2,77+2,75+2,75+2,75+2,77+2,18+2,https://cdn.sofifa.net/players/189/615/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
152747,https://sofifa.com/player/152747/aaron-lennon/220002,A. Lennon,Aaron Lennon,Aaron Lennon,"RM, LM",73,73,1400000,28000,34,4/16/1987,165,63,1796,Burnley,English Premier League,1,SUB,17,NA,8/25/2021,2022,14,England,NA,NA,NA,Right,3,3,2,High/High,Normal (170-),Yes,2700000,NA,Speed Dribbler (AI),78,60,70,77,48,56,74,58,26,72,68,79,66,53,64,72,80,77,81,73,93,64,60,62,53,57,55,50,72,72,62,73,54,50,43,14,7,7,16,11,NA,64+2,64+2,64+2,73,70,70,70,73,72+1,72+1,72+1,72+1,68+2,68+2,68+2,72+1,63+2,60+2,60+2,60+2,63+2,60+2,52+2,52+2,52+2,60+2,18+2,https://cdn.sofifa.net/players/152/747/22_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
233934,https://sofifa.com/player/233934/aaron-ramsdale/220002,A. Ramsdale,Aaron Ramsdale,Aaron Ramsdale,GK,74,79,5.00E+06,36000,23,5/14/1998,188,77,1,Arsenal,English Premier League,1,SUB,32,NA,8/20/2021,2025,14,England,1318,SUB,23,Right,3,1,1,Medium/Medium,Lean (185+),Yes,9900000,NA,"Solid Player, Comes For Crosses",NA,NA,NA,NA,NA,NA,15,14,15,31,16,18,17,16,33,28,47,50,53,70,49,52,66,35,59,15,35,20,11,47,25,55,18,16,15,75,72,69,71,76,48,30+2,30+2,30+2,30,31,31,31,30,32+2,32+2,32+2,31+2,32+2,32+2,32+2,31+2,28+2,31+2,31+2,31+2,28+2,28+2,28+2,28+2,28+2,28+2,73+2,https://cdn.sofifa.net/players/233/934/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
229880,https://sofifa.com/player/229880/aaron-wan-bissaka/220002,A. Wan-Bissaka,Aaron Wan-Bissaka,Aaron Wan-Bissaka,RB,83,87,48500000,115000,23,11/26/1997,183,72,11,Manchester United,English Premier League,1,RB,29,NA,6/29/2019,2024,14,England,NA,NA,NA,Right,2,4,2,Medium/High,Unique,Yes,93400000,#Tackling ,"Solid Player, Dives Into Tackles (AI)",85,52,69,79,81,75,73,46,51,76,43,80,74,45,58,76,82,88,84,83,72,70,67,81,72,46,78,84,70,66,44,76,78,87,92,9,8,6,8,8,NA,67+2,67+2,67+2,73,71,71,71,73,72+2,72+2,72+2,74+2,72+2,72+2,72+2,74+2,82+2,78+2,78+2,78+2,82+2,81+2,78+2,78+2,78+2,81+2,16+2,https://cdn.sofifa.net/players/229/880/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
208135,https://sofifa.com/player/208135/abdoulaye-doucoure/220002,A. Doucour<e9>,Abdoulaye Doucoure,Abdoulaye Doucouré,"CM, CDM",79,79,17500000,87000,28,1/1/1993,184,76,7,Everton,English Premier League,1,RDM,16,NA,9/8/2020,2023,18,France,NA,NA,NA,Right,3,3,2,High/High,Unique,Yes,33300000,#Engine,NA,70,76,72,76,77,81,68,76,66,79,68,77,41,42,76,80,66,73,65,79,68,84,73,89,80,75,75,80,76,76,54,74,75,80,76,15,12,12,15,14,NA,76+2,76+2,76+2,75,77,77,77,75,77+2,77+2,77+2,76+2,79,79,79,76+2,77+2,79,79,79,77+2,77+2,77+2,77+2,77+2,77+2,21+2,https://cdn.sofifa.net/players/208/135/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/fr.png
