,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-090,2000,26.6,58.5,5.08,23,24.6,15.1,0.9,48,1.09,2.59,42,1.17,0.19,33.7,197.3,119.5,5.15,1.54,0.41,0.83,0.9,36.2,32.5,89.8,1.28,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-265,1996,19.3,33.2,1.3,4.3,14,16.5,4.56,32.6,0.52,1.4,37,0.67,0,20.9,82.5,38.1,1.97,0.88,0.52,2.33,2.33,45.1,22.9,50.7,6.68,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-302,2001,15.3,63.5,3.14,22.4,24.4,20,2.35,52.7,2.03,3.73,54.4,2.29,0.13,38,180.3,112.9,5.95,1.18,0.72,1.5,1.44,40.6,35.8,88.1,2.81,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-352,1998,16.6,49.5,5.9,22.3,22.4,7.59,1.51,42.9,0.48,0.84,57.1,0.48,0,24.3,136.3,78.8,2.53,0.72,0.06,0.72,0.54,25.1,22.3,89.2,0.96,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-045,1995,8.5,90.8,6.94,34.9,53.9,9.76,0.71,87.5,0,0.24,0,0,0,66.6,362,239.9,7.88,1.06,0,0.24,0.12,73.9,70.9,96,0.24,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-137,1989,11.1,50.8,2.88,12.6,22.4,18.4,0.81,43.6,1.26,2.79,45.2,1.35,0.18,29.3,124,54.6,2.34,0.9,0.18,0.99,1.08,37.6,28.6,76.3,2.34,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-358,1991,12.2,94.2,2.13,16.3,61.7,22.1,1.89,93,0.66,1.07,61.5,0.66,0,68,308.6,161,9.1,2.46,0.33,0.66,0.98,72.6,69.4,95.6,2.54,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-179,1998,25.7,93.9,2.49,18.9,43.9,35.2,2.88,76.6,0.86,1.32,64.7,0.86,0,53.1,189.3,101.7,4.86,1.91,0.39,0.74,0.86,62.1,58.1,93.6,4.09,Matches
9,Alisson,,br BRA,GK,Liverpool,29-184,1992,28,40.3,30.4,40,0.29,0,0,33.9,0.04,0.07,50,0.04,0,23,81.1,43.6,0,0,0,0.04,0,22.8,22.6,99.1,0,Matches
