,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-078,2000,26.6,0,11,2,18.2,0.41,0.08,0,0,20.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-253,1996,18.3,7,40,20,50,2.19,1.09,0.18,0.35,13.2,0,0,0,5.5,5.5,0.14,1.5,1.5,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-290,2001,15.3,0,8,2,25,0.52,0.13,0,0,15.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-340,1998,15.6,0,3,0,0,0.19,0,0,,10,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-033,1995,7.5,1,3,1,33.3,0.4,0.13,0.33,1,5.3,0,0,0,0.7,0.7,0.25,0.3,0.3,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-125,1989,11.1,1,4,1,25,0.36,0.09,0.25,1,16.7,0,0,0,0.5,0.5,0.13,0.5,0.5,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-346,1991,11.2,1,18,5,27.8,1.61,0.45,0.06,0.2,16.5,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-167,1998,25.7,2,41,12,29.3,1.6,0.47,0.05,0.17,22,3,0,0,2.3,2.3,0.06,-0.3,-0.3,Matches
9,Alisson,,br BRA,GK,Liverpool,29-172,1992,27,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
10,Allan,,br BRA,MF,Everton,31-074,1991,21.5,0,6,3,50,0.28,0.14,0,0,25.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-346,1996,1.9,0,3,0,0,1.54,0,0,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-346,1996,7.3,1,4,2,50,0.55,0.27,0,0,18.2,0,1,1,1.5,0.7,0.18,-0.5,-0.7,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-041,1994,12.6,0,19,5,26.3,1.5,0.4,0,0,20,0,0,0,1,1,0.05,-1,-1,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-085,1990,16.1,1,25,5,20,1.55,0.31,0.04,0.2,21.7,8,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-196,1998,4.5,0,1,1,100,0.22,0.22,0,0,18.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-092,1994,16.7,0,1,1,100,0.06,0.06,0,0,33.2,0,0,0,0,0,0.01,0,0,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-296,1996,23.4,0,5,2,40,0.21,0.09,0,0,13.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,31-360,1990,27.6,8,69,21,30.4,2.5,0.76,0.12,0.38,14.3,0,0,1,8.7,8.4,0.12,-0.7,-0.4,Matches
19,Cameron Archer,,eng ENG,MFFW,Aston Villa,20-245,2001,0.3,0,1,0,0,3.33,0,0,,13,0,0,0,0,0,0.02,0,0,Matches
20,Alphonse Areola,,fr FRA,GK,West Ham,29-024,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
21,Adam Armstrong,,eng ENG,FWMF,Southampton,25-041,1997,13.5,2,44,14,31.8,3.26,1.04,0.05,0.14,17.2,0,0,0,4.1,4.1,0.09,-2.1,-2.1,Matches
22,Stuart Armstrong,,sct SCO,MF,Southampton,29-358,1992,10.7,2,30,7,23.3,2.79,0.65,0.07,0.29,19.3,0,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-171,1994,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-129,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-278,1989,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,14.2,0,0,2,5.8,4.1,0.13,-1.8,-0.1,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-193,1991,17.3,1,28,5,17.9,1.62,0.29,0.04,0.2,17.3,1,0,0,2.5,2.5,0.09,-1.5,-1.5,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-210,1991,21,2,16,3,18.8,0.76,0.14,0.13,0.67,12.3,0,0,0,1.4,1.4,0.09,0.6,0.6,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-207,1989,15.9,0,8,2,25,0.5,0.13,0,0,13.7,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-257,1994,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-226,1997,5.8,1,15,6,40,2.59,1.04,0.07,0.17,18.4,4,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-345,1994,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-263,2001,0.8,0,3,0,0,3.86,0,0,,14,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-199,1993,6.2,2,20,5,25,3.22,0.81,0.1,0.4,13.6,0,0,0,4,4,0.2,-2,-2,Matches
