,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,,eng ENG,DF,Norwich City,22-090,2000,26.6,0,0.41,0.08,18.2,0.41,0.08,0,0,20.3,0,0,0,0.03,0.03,0.06,-0.03,-0.03,Matches
2,Che Adams,,sct SCO,FW,Southampton,25-265,1996,19.3,0.36,2.18,1.09,50,2.18,1.09,0.17,0.33,13.3,0,0,0,0.31,0.31,0.14,0.06,0.06,Matches
3,Rayan Ait Nouri,,fr FRA,DF,Wolves,20-302,2001,15.3,0,0.52,0.13,25,0.52,0.13,0,0,15.5,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
4,Kristoffer Ajer,,no NOR,DF,Brentford,23-352,1998,16.6,0,0.3,0,0,0.3,0,0,,7.8,0,0,0,0.02,0.02,0.07,-0.02,-0.02,Matches
5,Nathan Ake,,nl NED,DF,Manchester City,27-045,1995,8.5,0.12,0.35,0.12,33.3,0.35,0.12,0.33,1,5.3,0,0,0,0.08,0.08,0.25,0.04,0.04,Matches
6,Marc Albrighton,,eng ENG,FWDF,Leicester City,32-137,1989,11.1,0.09,0.36,0.09,25,0.36,0.09,0.25,1,16.7,0,0,0,0.05,0.05,0.13,0.05,0.05,Matches
7,Thiago Alcantara,,es ESP,MF,Liverpool,30-358,1991,12.2,0.08,1.56,0.41,26.3,1.56,0.41,0.05,0.2,16.7,0,0,0,0.13,0.13,0.09,-0.05,-0.05,Matches
8,Trent Alexander-Arnold,,eng ENG,DF,Liverpool,23-179,1998,25.7,0.08,1.6,0.47,29.3,1.6,0.47,0.05,0.17,22,0.12,0,0,0.09,0.09,0.06,-0.01,-0.01,Matches
9,Alisson,,br BRA,GK,Liverpool,29-184,1992,28,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
10,Allan,,br BRA,MF,Everton,31-086,1991,21.5,0,0.28,0.14,50,0.28,0.14,0,0,25.1,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
