variable,description
Touches,"Number of times a player touched the ball. Note: Receiving a pass, then dribbling, then sending a pass counts as one touch"
Touches in Attacking Penalty Area,Touches in attacking penalty area
Touches in Attacking 3rd,Touches in attacking 1/3 of pitch
Touches in Middle 3rd,Touches in middle 1/3 of pitch
Touches in Defensive 3rd,Touches in defensive 1/3 of pitch
Touches in Defensive Penalty Area,Touches in defensive penalty area
Receptions,Number of times a player successfully received a pass
Targets,Number of times a player was the target of an attempted pass
Reception %,Percentage of time a player successfully received a pass
Progressive Receptions,"Completed passes that move the ball towards the opponent's goal at least 10 yards from its furthest point in the last six passes, or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch"
% of Aerial Duels Won,Percentage of time a player wins the ball when contesting in the air with a opposing player
Aerial Duels Won,Number of times a player wins the ball when contesting in the air with a opposing player 
Recoveries,Number of loose ball recovered
Miscontrol,Number of times a player failed when attempting to gain control of a ball
Progressive Distance,"Total distance, in yards, a player moved the ball towards the opponent's goal (passes & carries)"
Total Distance,"Total distance, in yards, a player moved the ball (passes & carries)"
Completion %,Pass Completion Percentage
Attempts,Passes Attempted
Completions,Passes Completed
