,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
1,Max Aarons\774cf58b,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-078,2000,26.6,32,1.2,23,1,3,3,2,0,4,0.15,4,0,0,0,0,0,Matches
2,Che Adams\f2bf1b0f,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-253,1996,18.3,41,2.24,25,0,1,3,11,1,4,0.22,3,0,0,0,0,1,Matches
3,Rayan Ait Nouri\9b398aea,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-290,2001,15.3,36,2.36,21,9,4,0,1,1,6,0.39,4,1,0,0,1,0,Matches
4,Kristoffer Ajer\a8c0acb7,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-340,1998,15.6,17,1.09,14,1,0,1,1,0,3,0.19,2,0,0,0,1,0,Matches
5,Nathan Ake\eaeca114,Nathan Aké\eaeca114,nl NED,DF,Manchester City,27-033,1995,7.5,3,0.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Marc Albrighton\b827d5b3,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,32-125,1989,11.1,15,1.35,10,3,0,0,2,0,1,0.09,1,0,0,0,0,0,Matches
7,Thiago Alcantara\77e84962,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-346,1991,11.2,42,3.75,36,0,0,5,0,1,4,0.36,4,0,0,0,0,0,Matches
8,Trent Alexander-Arnold\cd1acf9d,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-167,1998,25.7,128,4.98,73,46,4,4,1,0,15,0.58,9,5,0,1,0,0,Matches
9,Alisson\7a2e46a8,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-172,1992,27,3,0.11,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
10,Allan\cc700722,Allan\cc700722,br BRA,MF,Everton,31-074,1991,21.5,31,1.44,30,0,0,0,1,0,6,0.28,5,0,0,0,1,0,Matches
11,Dele Alli\cea4ee8f,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-346,1996,1.9,6,3.09,5,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Dele Alli\cea4ee8f,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-346,1996,7.3,8,1.1,5,0,0,0,3,0,1,0.14,0,0,0,0,1,0,Matches
13,Miguel Almiron\862a1c15,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,28-041,1994,12.6,34,2.69,23,0,2,7,1,1,3,0.24,3,0,0,0,0,0,Matches
14,Marcos Alonso\f4290206,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-085,1990,16.1,50,3.11,37,7,2,3,1,0,7,0.44,5,1,0,1,0,0,Matches
