,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons\774cf58b,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-078,2000,26.6,6,0,0,27,47,1,40,42,35,0,2,1,145,14,44,24.1,Matches
2,Che Adams\f2bf1b0f,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-253,1996,18.3,0,0,0,25,38,7,9,9,6,0,0,0,105,43,85,33.6,Matches
3,Rayan Ait Nouri\9b398aea,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-290,2001,15.3,4,0,0,16,16,2,40,27,31,1,0,0,102,18,19,48.6,Matches
4,Kristoffer Ajer\a8c0acb7,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-340,1998,15.6,4,0,0,16,16,0,7,36,14,0,0,0,138,50,28,64.1,Matches
5,Nathan Ake\eaeca114,Nathan Aké\eaeca114,nl NED,DF,Manchester City,27-033,1995,7.5,0,0,0,6,2,0,0,16,4,0,0,0,56,31,5,86.1,Matches
6,Marc Albrighton\b827d5b3,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,32-125,1989,11.1,2,0,0,7,13,1,23,22,15,0,0,0,63,6,11,35.3,Matches
7,Thiago Alcantara\77e84962,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-346,1991,11.2,1,0,0,18,12,0,0,21,28,0,0,0,158,28,12,70,Matches
8,Trent Alexander-Arnold\cd1acf9d,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-167,1998,25.7,1,0,0,11,8,7,102,64,18,0,0,0,254,15,19,44.1,Matches
9,Alisson\7a2e46a8,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-172,1992,27,0,0,0,0,4,0,0,0,0,0,0,1,166,0,0,,Matches
10,Allan\cc700722,Allan\cc700722,br BRA,MF,Everton,31-074,1991,21.5,6,1,0,35,27,0,5,35,57,1,0,0,245,10,13,43.5,Matches
11,Dele Alli\cea4ee8f,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-346,1996,1.9,1,0,0,5,2,2,1,3,4,0,0,0,21,6,8,42.9,Matches
12,Dele Alli\cea4ee8f,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-346,1996,7.3,1,0,0,13,15,2,3,17,7,1,0,0,46,11,13,45.8,Matches
13,Miguel Almiron\862a1c15,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,28-041,1994,12.6,1,0,0,15,19,5,18,16,25,0,0,0,93,4,13,23.5,Matches
14,Marcos Alonso\f4290206,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-085,1990,16.1,6,0,0,24,23,2,43,50,21,0,1,0,135,35,16,68.6,Matches
15,Steven Alzate\ad1f61f3,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-196,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,60,7,12,36.8,Matches
16,Daniel Amartey\1a4ef233,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-092,1994,16.7,1,0,0,12,8,1,0,24,8,0,0,0,141,31,26,54.4,Matches
17,Joachim Andersen\e34fc66d,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-296,1996,23.4,3,0,0,13,5,1,5,49,14,0,0,1,183,57,26,68.7,Matches
18,Michail Antonio\ac05f970,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-360,1990,27.6,7,1,1,39,54,12,49,11,19,0,0,0,115,69,128,35,Matches
19,Cameron Archer\05e8ca6d,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-245,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3,Matches
20,Alphonse Areola\2f965a72,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,29-024,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
21,Adam Armstrong\68c720b5,Adam Armstrong\68c720b5,eng ENG,FWMF,Southampton,25-041,1997,13.5,1,0,0,12,8,1,20,8,6,1,0,0,52,10,31,24.4,Matches
22,Stuart Armstrong\97333cf5,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-358,1992,10.7,1,0,0,8,15,0,14,11,9,0,0,0,111,5,13,27.8,Matches
23,Kepa Arrizabalaga\28d596a0,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-171,1994,4,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,,Matches
24,Harrison Ashby\b391383a,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-129,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
25,Pierre-Emerick Aubameyang\d5dd5f1f,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-278,1989,11.5,3,0,0,18,12,10,9,1,7,0,0,0,38,28,32,46.7,Matches
26,Jordan Ayew\da052c14,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-193,1991,17.3,1,0,0,30,59,0,42,20,28,0,0,0,119,23,43,34.8,Matches
27,Luke Ayling\420d7c7d,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-210,1991,21,3,0,0,19,19,1,21,43,32,0,1,0,206,40,44,47.6,Matches
28,Cesar Azpilicueta\53cad200,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-207,1989,15.9,0,0,0,19,8,2,31,25,23,0,0,0,120,36,25,59,Matches
29,Daniel Bachmann\1c0eea98,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-257,1994,11,0,0,0,1,2,0,0,0,0,0,1,0,51,0,0,,Matches
30,Leon Bailey\3a233281,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-226,1997,5.8,2,0,0,5,10,1,19,3,11,0,0,0,27,7,9,43.8,Matches
31,Eric Bailly\a1232f4e,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-345,1994,2.4,1,0,0,2,0,0,0,8,3,0,0,1,23,5,2,71.4,Matches
